P3_1,GND
P3_2,VIN
P3_3,PA9
P3_4,PA10
P2_1,GND
P2_2,VIN
P2_3,PB10
P2_4,PB11
P1_1,GND
P1_2,VIN
P1_3,PC1
P1_4,PC2
P7_1,GND
P7_2,VIN
P7_3,PB0
P7_4,PB1
P7_5,PA3
P7_6,PA2
P7_7,PA1
P7_8,PA0
P6_1,GND
P6_2,VIN
P6_3,B14
P6_4,B15
P6_5,PC6
P6_6,PC7
P6_7,PC8
P6_8,PC9
P4_1,GND
P4_2,VIN
P4_3,PC10
P4_4,PC11
P4_5,PC12
P5_5,PA15
P5_6,PD2
LED_GREEN,PB4
LED_BLUE,PB5
RX1_INV,PC0
FLASH_CS,PB3
SPI1_SCK,PA5
SPI1_MISO,PA6
SPI1_MOSI,PA7
MPU_CS,PA4
MPU_INT,PC4
I2C1_SCL,PB8
12C1_SDA,PB9
MAG_DRDY,PB7
USB_VBUS,PC5
USB_DM,PA11
USB_DP,PA12
